id	FAS	BCL6	CASP1	CD36	DDC	FABP4	IL10	NR4A2	ABCB1	PPARA	PPARD	PPARG	SHBG	NR1H4	LPAR6	PARK7	Type
Train.GSE164760_GSM5018306_Treat	6.39103003259776	6.73053252613965	5.67467372168081	6.02494851299929	6.34157235874617	4.79585763874958	3.59586878703472	3.8513408173239	6.50197711757093	6.79866989275225	4.6076603544247	5.10238632878747	8.80073613818847	7.88549135466046	4.50127576806146	8.85362318624151	1
Train.GSE164760_GSM5018307_Treat	6.6831994205146	5.81605908615135	7.60408701510306	6.39988612461835	7.04445668904183	4.45080007273558	4.44295085751652	4.03023846258338	6.72609650232592	6.47494108493508	3.90197311617172	5.35083028917473	5.66789888270235	9.07070735869566	5.24384017684093	9.12942857904796	1
Train.GSE164760_GSM5018308_Treat	6.05057845005456	4.75547874355033	7.71832660389356	6.74658620339366	6.13208333264515	4.27663143370765	3.9582193041678	4.15339959486679	6.61094422824372	6.53477935921114	4.49107259678012	5.17341780736515	6.20182460750336	9.90484180648192	6.29931203371438	8.84497427404894	1
Train.GSE164760_GSM5018309_Treat	5.44093871031816	4.25381204998511	6.87940176050691	6.99901442133378	6.56002873094402	4.83444673361174	4.20143267890465	4.49691302552843	6.19305974208989	7.62357983018749	4.12930146222951	5.27109600145714	7.97123545778278	8.58794769070298	5.15883719880156	9.12942857904796	1
Train.GSE164760_GSM5018310_Treat	5.45006264640702	5.83614748523477	5.45207769064866	8.36938463615468	6.22457477367552	4.27886232272024	4.19531510651152	4.132122023568	6.5163702030701	6.22555646535936	4.37917490492766	5.37993567193185	6.03938399746238	8.90972119607581	6.98017832700144	8.72532311566018	1
Train.GSE164760_GSM5018311_Treat	5.12452501819919	6.53285150802776	6.60843005890324	5.43913147202206	7.36027538691925	3.77339587189846	4.22273484970806	3.49623369036489	7.16354899656149	6.56409497206497	4.22585456402885	4.67536165594212	5.41816340248477	8.49548500974718	5.66155637660035	9.10887560300344	1
Train.GSE164760_GSM5018312_Treat	4.92055467270939	4.41012206438746	5.93781134756309	5.75779145147911	6.9566254492827	3.37502995865827	4.18048051666685	4.00146358149523	5.58634902535635	6.95404300865594	4.37917490492766	5.03457294011576	7.74086048235456	8.50535448515202	3.72142121645425	8.75154898793429	1
Train.GSE164760_GSM5018313_Treat	6.25579174926832	6.2078363238855	6.05932120149529	8.65737660798896	6.90857957232829	6.84862836363326	3.87321052275349	4.06009293321922	6.77314898116706	6.34896155089695	4.25206645304948	5.39545218996624	6.87486180222522	7.77153395752405	5.85940884872941	9.45060783716792	1
Train.GSE164760_GSM5018314_Treat	3.79362807076165	5.93567011693292	6.80641156569427	5.03101678281615	7.96046933114659	7.95973808211708	5.02530203698181	6.30556388056442	5.00324029713017	3.89127966300603	5.57237027257008	3.65767061999221	8.23804528525409	5.20842261273485	5.28179558219614	6.94028197266292	1
Train.GSE164760_GSM5018315_Treat	5.70077431139702	4.09839776246851	6.60514983786396	5.63322398349848	7.4252550302581	8.66597025209065	4.24892393392124	3.02634897006189	6.17516026324154	6.26657191686868	4.14150939221881	5.15708083643633	8.54408742212432	7.02935813226856	5.19460380922175	8.23237820778307	1
Train.GSE164760_GSM5018316_Treat	5.07169501387419	6.69715295391806	6.24456478162296	7.17998531915949	6.27029450480174	3.19534178608733	3.64592145525114	4.03382676455794	5.76599200742821	6.30159243404401	4.11970630037651	6.73847225694309	6.33366049776945	7.75177927276807	3.46033631636652	9.46532759289058	1
Train.GSE164760_GSM5018317_Treat	4.37087701768892	5.72980864539608	6.35159048632973	6.25708419548263	6.52957671368791	4.41511701414476	4.04240105503328	4.09870231295062	6.52081040505133	7.54840961175573	4.3286503103091	4.76510955705156	4.96201734053986	7.5848127801964	5.30658011855561	9.29542843048991	1
Train.GSE164760_GSM5018318_Treat	5.72318309784564	3.89234814173928	7.16997093959336	5.65604888758825	5.56274709701125	3.84898258991476	3.81478362897969	3.98994771942425	6.23962341920865	6.5544863947043	5.19050365717862	5.05259540745532	7.15682677088851	8.17229258849006	7.51748081918653	8.77838752727535	1
Train.GSE164760_GSM5018319_Treat	6.36136308196321	4.33167905146466	6.39959028318145	5.63098239435664	6.98244027505629	4.9812819577106	3.17996623769628	5.44937549881098	6.6396324870958	7.22665577371682	4.53182835125167	4.15339896637272	6.38504050230602	7.16782172290694	6.60609995258777	8.40202385771281	1
